,Series Name,Description,Frequency,Start,End
1204,FA643065543.A,Mortgage real estate investment trusts; securitized commercial mortgages; asset,A,12-31-1946,12-31-2014
1205,FA643065543.Q,Mortgage real estate investment trusts; securitized commercial mortgages; asset,Q,12-31-1946,06-30-2015
1206,FA643065573.A,Mortgage real estate investment trusts; commercial mortgages; asset,A,12-31-1946,12-31-2014
1207,FA643065573.Q,Mortgage real estate investment trusts; commercial mortgages; asset,Q,12-31-1946,06-30-2015
1208,FR652051003.A,Mutual funds; security repurchase agreements; asset,A,12-31-1946,12-31-2014
1209,FR652051003.Q,Mutual funds; security repurchase agreements; asset,Q,12-31-1946,06-30-2015
1210,FR653061105.A,Mutual funds; Treasury securities; asset,A,12-31-1946,12-31-2014
1211,FR653061105.Q,Mutual funds; Treasury securities; asset,Q,12-31-1946,06-30-2015
1212,FR653061113.A,Mutual funds; Treasury bills; asset,A,12-31-1946,12-31-2014
1213,FR653061113.Q,Mutual funds; Treasury bills; asset,Q,12-31-1946,06-30-2015
1214,FR653061125.A,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",A,12-31-1946,12-31-2014
1215,FR653061125.Q,"Mutual funds; other Treasury securities, excluding Treasury bills (includes all Treasury securities before 2010:Q4); asset",Q,12-31-1946,06-30-2015
1216,FR653061703.A,Mutual funds; agency- and GSE-backed securities; asset,A,12-31-1946,12-31-2014
1217,FR653061703.Q,Mutual funds; agency- and GSE-backed securities; asset,Q,12-31-1946,06-30-2015
1218,FR653062003.A,Mutual funds; municipal securities; asset,A,12-31-1946,12-31-2014
1219,FR653062003.Q,Mutual funds; municipal securities; asset,Q,12-31-1946,06-30-2015
1220,FR653063005.A,Mutual funds; corporate and foreign bonds; asset,A,12-31-1946,12-31-2014
1221,FR653063005.Q,Mutual funds; corporate and foreign bonds; asset,Q,12-31-1946,06-30-2015
1222,FR653064100.A,Mutual funds; corporate equities; asset,A,12-31-1946,12-31-2014
1223,FR653064100.Q,Mutual funds; corporate equities; asset,Q,12-31-1946,06-30-2015
1224,FA513061103.A,Property-casualty insurance companies; Treasury securities; asset,A,12-31-1946,12-31-2014
1225,FA513061103.Q,Property-casualty insurance companies; Treasury securities; asset,Q,12-31-1946,06-30-2015
1226,FA513061113.A,Property-casualty insurance companies; Treasury bills; asset,A,12-31-1946,12-31-2014
1227,FA513061113.Q,Property-casualty insurance companies; Treasury bills; asset,Q,12-31-1946,06-30-2015
1228,FA513061125.A,"Property-casualty insurance companies; other Treasury securities, excluding Treasury bills; asset",A,12-31-1946,12-31-2014
1229,FA513061125.Q,"Property-casualty insurance companies; other Treasury securities, excluding Treasury bills; asset",Q,12-31-1946,06-30-2015
1230,FA513061703.A,Property-casualty insurance companies; agency- and GSE-backed securities; asset,A,12-31-1946,12-31-2014
1231,FA513061703.Q,Property-casualty insurance companies; agency- and GSE-backed securities; asset,Q,12-31-1946,06-30-2015
1232,FA513062003.A,Property-casualty insurance companies; municipal securities; asset,A,12-31-1946,12-31-2014
1233,FA513062003.Q,Property-casualty insurance companies; municipal securities; asset,Q,12-31-1946,06-30-2015
1234,FA513063003.A,Property-casualty insurance companies; corporate and foreign bonds; asset,A,12-31-1946,12-31-2014
1235,FA513063003.Q,Property-casualty insurance companies; corporate and foreign bonds; asset,Q,12-31-1946,06-30-2015
1236,FA513063095.A,"Property-casualty insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset",A,12-31-1946,12-31-2014
1237,FA513063095.Q,"Property-casualty insurance companies; corporate and foreign bonds, excluding mortgage-backed securities and other asset-backed bonds; asset",Q,12-31-1946,06-30-2015
1238,FA762050005.Q,"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; asset",Q,12-31-1946,06-30-2015
1239,FA762051005.A,"U.S.-chartered depository institutions, including IBFs; security repurchase agreements; asset",A,12-31-2013,12-31-2014
1240,FA762051005.Q,"U.S.-chartered depository institutions, including IBFs; security repurchase agreements; asset",Q,06-30-2012,06-30-2015
1241,FA762052005.A,"U.S.-chartered depository institutions, including IBFs; federal funds; asset",A,12-31-2013,12-31-2014
1242,FA762052005.Q,"U.S.-chartered depository institutions, including IBFs; federal funds; asset",Q,06-30-2012,06-30-2015
1243,FA762150005.A,"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; liability",A,12-31-1946,12-31-2014
1244,FA762150005.Q,"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; liability",Q,12-31-1946,06-30-2015
1245,FA762151005.A,"U.S.-chartered depository institutions, including IBFs; security repurchase agreements; liability",A,12-31-2013,12-31-2014
1246,FA762151005.Q,"U.S.-chartered depository institutions, including IBFs; security repurchase agreements; liability",Q,06-30-2012,06-30-2015
1247,FA762152005.A,"U.S.-chartered depository institutions, including IBFs; federal funds; liability",A,12-31-2013,12-31-2014
1248,FA762152005.Q,"U.S.-chartered depository institutions, including IBFs; federal funds; liability",Q,06-30-2012,06-30-2015
1249,FA763013005.A,U.S.-chartered depository institutions; depository institution reserves; asset,A,12-31-1946,12-31-2014
1250,FA763013005.Q,U.S.-chartered depository institutions; depository institution reserves; asset,Q,12-31-1946,06-30-2015
1251,FU174022005.Q,Personal sector; debt securities; asset,Q,12-31-1946,06-30-2015
1252,FU174023005.A,Personal sector; loans; asset,A,12-31-1946,12-31-2014
1253,FU174023005.Q,Personal sector; loans; asset,Q,12-31-1946,06-30-2015
1254,FU174090005.A,Personal sector; total financial assets ,A,12-31-1946,12-31-2014
1255,FU174090005.Q,Personal sector; total financial assets ,Q,12-31-1946,06-30-2015
1256,FU174190005.A,Personal sector; total liabilities,A,12-31-1946,12-31-2014
1257,FU174190005.Q,Personal sector; total liabilities,Q,12-31-1946,06-30-2015
1258,FU175012005.A,"Personal sector; gross fixed investment, residential equipment and structures",A,12-31-1946,12-31-2014
1259,FU175012005.Q,"Personal sector; gross fixed investment, residential equipment and structures",Q,12-31-1946,06-30-2015
1260,FU175012865.A,"Personal sector; residential equipment and structures, current cost basis",A,12-31-1946,12-31-2014
1261,FU175012865.Q,"Personal sector; residential equipment and structures, current cost basis",Q,12-31-1946,06-30-2015
1262,FU175013005.A,"Personal sector; gross fixed investment, nonresidential structures, equipment, and intellectual property products",A,12-31-1946,12-31-2014
1263,FU175013005.Q,"Personal sector; gross fixed investment, nonresidential structures, equipment, and intellectual property products",Q,12-31-1946,06-30-2015
1264,FU175013865.A,"Personal sector; nonresidential structures, equipment, and intellectual property products, current cost basis",A,12-31-1946,12-31-2014
1265,FU175013865.Q,"Personal sector; nonresidential structures, equipment, and intellectual property products, current cost basis",Q,12-31-1946,06-30-2015
1266,FU105400073.A,"Nonfinancial corporate business; capital transfers received, disaster-related insurance benefits",A,12-31-1946,12-31-2014
1267,FU105400073.Q,"Nonfinancial corporate business; capital transfers received, disaster-related insurance benefits",Q,12-31-1946,06-30-2015
1268,FU105410003.A,Nonfinancial corporate business; capital transfers paid (includes disaster-related payments by BP to state and local governments) ,A,12-31-1946,12-31-2014
1269,FU105410003.Q,Nonfinancial corporate business; capital transfers paid (includes disaster-related payments by BP to state and local governments) ,Q,12-31-1946,06-30-2015
1270,FU105420005.A,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net),A,12-31-1946,12-31-2014
1271,FU105420005.Q,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net),Q,12-31-1946,06-30-2015
1272,FU105420095.A,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net) (IMA),A,12-31-1946,12-31-2014
1273,FU105420095.Q,Nonfinancial corporate business; acquisition of nonproduced nonfinancial assets (net) (IMA),Q,12-31-1946,06-30-2015
1274,FU105430005.A,Nonfinancial corporate business; capital account transactions (net),A,12-31-1946,12-31-2014
1275,FU105430005.Q,Nonfinancial corporate business; capital account transactions (net),Q,12-31-1946,06-30-2015
1276,FU105440005.A,Nonfinancial corporate business; net capital transfers paid ,A,12-31-1946,12-31-2014
1277,FU105440005.Q,Nonfinancial corporate business; net capital transfers paid ,Q,12-31-1946,06-30-2015
1278,FU106000105.A,Nonfinancial corporate business; gross saving including foreign earnings retained abroad less net capital transfers paid,A,12-31-1946,12-31-2014
1279,FL153064235.A,"Households and nonprofit organizations; mutual fund shares, bond funds; asset",A,12-31-1945,12-31-2014
1280,FL153064235.Q,"Households and nonprofit organizations; mutual fund shares, bond funds; asset",Q,12-31-1945,06-30-2015
1281,FL153064245.A,"Households and nonprofit organizations; mutual fund shares, equity funds; asset",A,12-31-1945,12-31-2014
1282,FL153064245.Q,"Households and nonprofit organizations; mutual fund shares, equity funds; asset",Q,12-31-1945,06-30-2015
1283,FL153064295.A,"Households and nonprofit organizations; mutual fund shares, other than bond or equity funds; asset",A,12-31-1945,12-31-2014
1284,FL153064295.Q,"Households and nonprofit organizations; mutual fund shares, other than bond or equity funds; asset",Q,12-31-1945,06-30-2015
1285,FL153064475.A,Households and nonprofit organizations; directly and indirectly held corporate equities; asset,A,12-31-1945,12-31-2014
1286,FL153064475.Q,Households and nonprofit organizations; directly and indirectly held corporate equities; asset,Q,12-31-1945,06-30-2015
1287,FL153064476.A,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of total assets,A,12-31-1945,12-31-2014
1288,FL153064476.Q,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of total assets,Q,12-31-1945,06-30-2015
1289,FL153064486.A,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of total financial assets,A,12-31-1945,12-31-2014
1290,FL153064486.Q,Households and nonprofit organizations; directly and indirectly held corporate equities as a percentage of total financial assets,Q,12-31-1945,06-30-2015
1291,FL153065005.A,Households and nonprofit organizations; total mortgages; asset,A,12-31-1945,12-31-2014
1292,FL544022405.Q,Life insurance companies; short-term debt securities; asset,Q,12-31-1945,06-30-2015
1293,FL544022605.A,Life insurance companies; long-term debt securities; asset,A,12-31-1945,12-31-2014
1294,FL544022605.Q,Life insurance companies; long-term debt securities; asset,Q,12-31-1945,06-30-2015
1295,FL544023005.A,Life insurance companies; loans; asset,A,12-31-1945,12-31-2014
1296,FL544023005.Q,Life insurance companies; loans; asset,Q,12-31-1945,06-30-2015
1297,FL544023075.A,"Life insurance companies, general accounts; loans; asset",A,12-31-1945,12-31-2014
1298,FL544023075.Q,"Life insurance companies, general accounts; loans; asset",Q,12-31-1945,06-30-2015
1299,FL544023085.A,"Life insurance companies, separate accounts; loans; asset",A,12-31-1945,12-31-2014
1300,FL544023085.Q,"Life insurance companies, separate accounts; loans; asset",Q,12-31-1945,06-30-2015
1301,FL544035005.A,Life insurance companies; total loans including security repurchase agreements; asset ,A,12-31-1945,12-31-2014
1302,FL544035005.Q,Life insurance companies; total loans including security repurchase agreements; asset ,Q,12-31-1945,06-30-2015
1303,FL544041005.A,Life insurance companies; short-term loans including repurchase agreements; asset,A,12-31-1945,12-31-2014
1304,FL544041005.Q,Life insurance companies; short-term loans including repurchase agreements; asset,Q,12-31-1945,06-30-2015
1305,FL544090005.A,Life insurance companies; total financial assets ,A,12-31-1945,12-31-2014
1306,FL544090005.Q,Life insurance companies; total financial assets ,Q,12-31-1945,06-30-2015
1307,FL544090075.A,"Life insurance companies, general accounts; total financial assets ",A,12-31-1945,12-31-2014
1308,FR263198013.Q,"Rest of the world; financial derivatives, gross at fair value; liability",Q,12-31-1946,06-30-2015
1309,FR264000005.A,Rest of the world; total currency and deposits; asset,A,12-31-1946,12-31-2014
1310,FR264000005.Q,Rest of the world; total currency and deposits; asset,Q,12-31-1946,06-30-2015
1311,FR264016005.A,Rest of the world; net interbank transactions with banks in foreign countries; asset,A,12-31-1946,12-31-2014
1312,FR264016005.Q,Rest of the world; net interbank transactions with banks in foreign countries; asset,Q,12-31-1946,06-30-2015
1313,FR264022005.A,"Rest of the world; debt securities, excluding negotiable certificates of deposit; asset ",A,12-31-1946,12-31-2014
1314,FR264022005.Q,"Rest of the world; debt securities, excluding negotiable certificates of deposit; asset ",Q,12-31-1946,06-30-2015
1315,FR264022405.A,"Rest of the world; short-term debt securities, excluding negotiable certificates of deposit; asset ",A,12-31-1946,12-31-2014
1316,FR264022405.Q,"Rest of the world; short-term debt securities, excluding negotiable certificates of deposit; asset ",Q,12-31-1946,06-30-2015
1317,FR264022605.A,"Rest of the world; long-term debt securities, excluding negotiable certificates of deposit; asset ",A,12-31-1946,12-31-2014
1318,FR264022605.Q,"Rest of the world; long-term debt securities, excluding negotiable certificates of deposit; asset ",Q,12-31-1946,06-30-2015
1319,FR264035125.A,Rest of the world; loans to U.S. private depository institutions; asset,A,12-31-1946,12-31-2014
1320,FR264035125.Q,Rest of the world; loans to U.S. private depository institutions; asset,Q,12-31-1946,06-30-2015
1321,FR264041005.A,Rest of the world; short-term loans including repurchase agreements; asset,A,12-31-1946,12-31-2014
1322,FU175050005.A,Personal sector; total capital expenditures,A,12-31-1946,12-31-2014
1323,FU175050005.Q,Personal sector; total capital expenditures,Q,12-31-1946,06-30-2015
1324,FU175440005.A,Personal sector; net capital transfers paid,A,12-31-1946,12-31-2014
1325,FU175440005.Q,Personal sector; net capital transfers paid,Q,12-31-1946,06-30-2015
1326,FU176007005.A,Personal sector; personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves (FOF),A,12-31-1946,12-31-2014
1327,FU176007005.Q,Personal sector; personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves (FOF),Q,12-31-1946,06-30-2015
1328,FU176007006.A,Personal sector; personal saving (NIPA concept; FOF data) as a percentage of disposable personal income,A,12-31-1946,12-31-2014
1329,FU176007006.Q,Personal sector; personal saving (NIPA concept; FOF data) as a percentage of disposable personal income,Q,12-31-1946,06-30-2015
1330,FU176007025.A,Personal sector; personal saving including consumer durables (FOF),A,12-31-1946,12-31-2014
1331,FU176007025.Q,Personal sector; personal saving including consumer durables (FOF),Q,12-31-1946,06-30-2015
1332,FU176007026.A,Personal sector; personal saving (FOF concept; FOF data) as a percentage of disposable personal income,A,12-31-1946,12-31-2014
1333,FU176007026.Q,Personal sector; personal saving (FOF concept; FOF data) as a percentage of disposable personal income,Q,12-31-1946,06-30-2015
1334,FU176007085.A,Personal sector; difference between FOF and NIPA personal saving excluding consumer durables,A,12-31-1946,12-31-2014
1335,FL673065505.A,Issuers of asset-backed securities; commercial mortgages; asset,A,12-31-1945,12-31-2014
1336,FL673065505.Q,Issuers of asset-backed securities; commercial mortgages; asset,Q,12-31-1945,06-30-2015
1337,FL673066000.A,Issuers of asset-backed securities; consumer credit; asset,A,12-31-1945,12-31-2014
1338,FL673066000.Q,Issuers of asset-backed securities; consumer credit; asset,Q,12-31-1945,06-30-2015
1339,FL673069005.A,Issuers of asset-backed securities; securitized other loans and advances; asset,A,12-31-1945,12-31-2014
1340,FL673069005.Q,Issuers of asset-backed securities; securitized other loans and advances; asset,Q,12-31-1945,06-30-2015
1341,FL673069505.A,Issuers of asset-backed securities; securitized nonfinancial business loans; asset,A,12-31-1945,12-31-2014
1342,FL673069505.Q,Issuers of asset-backed securities; securitized nonfinancial business loans; asset,Q,12-31-1945,06-30-2015
1343,FL673069803.A,Issuers of asset-backed securities; syndicated loans to nonfinancial corporate business; asset,A,12-31-1945,12-31-2014
1344,FL673069803.Q,Issuers of asset-backed securities; syndicated loans to nonfinancial corporate business; asset,Q,12-31-1945,06-30-2015
1345,FL673070003.A,Issuers of asset-backed securities; trade receivables; asset,A,12-31-1945,12-31-2014
1346,FL673070003.Q,Issuers of asset-backed securities; trade receivables; asset,Q,12-31-1945,06-30-2015
1347,FL673163005.A,Issuers of asset-backed securities; corporate and foreign bonds; liability,A,12-31-1945,12-31-2014
1348,FL673163005.Q,Issuers of asset-backed securities; corporate and foreign bonds; liability,Q,12-31-1945,06-30-2015
1349,FL673169105.A,"Issuers of asset-backed securities; commercial paper, excluding U.S.-chartered commercial banks' asset-backed commercial paper; liability",A,12-31-1945,12-31-2014
1350,FL314000005.A,Federal government; total currency and deposits; asset,A,12-31-1945,12-31-2014
1351,FL314000005.Q,Federal government; total currency and deposits; asset,Q,12-31-1945,06-30-2015
1352,FL314000105.A,Federal government; change in cash balance; asset,A,12-31-1945,12-31-2014
1353,FL314000105.Q,Federal government; change in cash balance; asset,Q,12-31-1945,06-30-2015
1354,FL314022005.A,Federal government; debt securities; asset,A,12-31-1945,12-31-2014
1355,FL314022005.Q,Federal government; debt securities; asset,Q,12-31-1945,06-30-2015
1356,FL314023005.A,Federal government; loans; asset,A,12-31-1945,12-31-2014
1357,FL314023005.Q,Federal government; loans; asset,Q,12-31-1945,06-30-2015
1358,FL314041005.A,Federal government; short-term loans; asset ,A,12-31-1945,12-31-2014
1359,FL314041005.Q,Federal government; short-term loans; asset ,Q,12-31-1945,06-30-2015
1360,FL314090005.A,Federal government; total financial assets,A,12-31-1945,12-31-2014
1361,FL314090005.Q,Federal government; total financial assets,Q,12-31-1945,06-30-2015
1362,FL314100005.A,Federal government; total currency and deposits; liability,A,12-31-1945,12-31-2014
1363,FL314100005.Q,Federal government; total currency and deposits; liability,Q,12-31-1945,06-30-2015
1364,FL314104005.A,Federal government; debt securities and loans; liability,A,12-31-1945,12-31-2014
1365,FL314104005.Q,Federal government; debt securities and loans; liability,Q,12-31-1945,06-30-2015
1366,FL314122005.A,Federal government; debt securities; liability,A,12-31-1945,12-31-2014
1367,FU176007085.Q,Personal sector; difference between FOF and NIPA personal saving excluding consumer durables,Q,12-31-1946,06-30-2015
1368,FU176007086.A,Personal sector; difference between FOF and NIPA personal saving excluding consumer durables as a percentage of disposable personal income,A,12-31-1946,12-31-2014
1369,FU176007086.Q,Personal sector; difference between FOF and NIPA personal saving excluding consumer durables as a percentage of disposable personal income,Q,12-31-1946,06-30-2015
1370,FU176300005.A,"Personal sector; consumption of fixed capital, structures, equipment, and intellectual property products, including consumer durables, current cost basis",A,12-31-1946,12-31-2014
1371,FU176300005.Q,"Personal sector; consumption of fixed capital, structures, equipment, and intellectual property products, including consumer durables, current cost basis",Q,12-31-1946,06-30-2015
1372,FU176320005.A,"Personal sector; consumption of fixed capital, residential equipment and structures, current cost basis",A,12-31-1946,12-31-2014
1373,FU176320005.Q,"Personal sector; consumption of fixed capital, residential equipment and structures, current cost basis",Q,12-31-1946,06-30-2015
1374,FU176330005.A,"Personal sector; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis",A,12-31-1946,12-31-2014
1375,FU176330005.Q,"Personal sector; consumption of fixed capital, nonresidential structures, equipment, and intellectual property products, current cost basis",Q,12-31-1946,06-30-2015
1376,FU183165605.A,Corporate farm business; farm mortgages; liability,A,12-31-1946,12-31-2014
1377,FU183165605.Q,Corporate farm business; farm mortgages; liability,Q,12-31-1946,06-30-2015
1378,FU183169305.A,Corporate farm business; Farm Credit System loans; liability,A,12-31-1946,12-31-2014
1379,FL544090075.Q,"Life insurance companies, general accounts; total financial assets ",Q,12-31-1945,06-30-2015
1380,FL544090085.A,"Life insurance companies, separate accounts; total financial assets ",A,12-31-1945,12-31-2014
1381,FL544090085.Q,"Life insurance companies, separate accounts; total financial assets ",Q,12-31-1945,06-30-2015
1382,FL544141005.A,Life insurance companies; short-term loans including security repurchase agreements; liability,A,12-31-1945,12-31-2014
1383,FL544141005.Q,Life insurance companies; short-term loans including security repurchase agreements; liability,Q,12-31-1945,06-30-2015
1384,FL544190005.A,Life insurance companies; total liabilities ,A,12-31-1945,12-31-2014
1385,FL544190005.Q,Life insurance companies; total liabilities ,Q,12-31-1945,06-30-2015
1386,FL544190075.A,"Life insurance companies, general accounts; total liabilities ",A,12-31-1945,12-31-2014
1387,FL544190075.Q,"Life insurance companies, general accounts; total liabilities ",Q,12-31-1945,06-30-2015
1388,FL544190085.A,"Life insurance companies, separate accounts; total liabilities ",A,12-31-1945,12-31-2014
1389,FL544190085.Q,"Life insurance companies, separate accounts; total liabilities ",Q,12-31-1945,06-30-2015
1390,FL544194005.A,Life insurance companies; total liabilities and equity,A,12-31-1945,12-31-2014
1391,FL544194005.Q,Life insurance companies; total liabilities and equity,Q,12-31-1945,06-30-2015
1392,FL545000005.A,Life insurance companies; net lending (+) or borrowing (-) (financial account),A,12-31-1945,12-31-2014
1393,FL545000005.Q,Life insurance companies; net lending (+) or borrowing (-) (financial account),Q,12-31-1945,06-30-2015
1394,FL314122005.Q,Federal government; debt securities; liability,Q,12-31-1945,06-30-2015
1395,FL314122605.A,Federal government; long-term debt securities; liability,A,12-31-1945,12-31-2014
1396,FL314122605.Q,Federal government; long-term debt securities; liability,Q,12-31-1945,06-30-2015
1397,FL314190005.A,Federal government; total liabilities,A,12-31-1945,12-31-2014
1398,FL314190005.Q,Federal government; total liabilities,Q,12-31-1945,06-30-2015
1399,FL314190025.A,Federal government; total liabilities due to rest of the world,A,12-31-1945,12-31-2014
1400,FL314190025.Q,Federal government; total liabilities due to rest of the world,Q,12-31-1945,06-30-2015
1401,FL314190065.A,Federal government; total liabilities in domestic currency,A,12-31-1945,12-31-2014
1402,FL314190065.Q,Federal government; total liabilities in domestic currency,Q,12-31-1945,06-30-2015
1403,FL314190085.A,Federal government; total liabilities due to private domestic sectors,A,12-31-1945,12-31-2014
1404,FL314190085.Q,Federal government; total liabilities due to private domestic sectors,Q,12-31-1945,06-30-2015
1405,FL314190405.A,Federal government; short-term liabilities,A,12-31-1945,12-31-2014
1406,FL314190405.Q,Federal government; short-term liabilities,Q,12-31-1945,06-30-2015
1407,FL314190605.A,Federal government; long-term liabilities,A,12-31-1945,12-31-2014
1408,FL314190605.Q,Federal government; long-term liabilities,Q,12-31-1945,06-30-2015
1409,FL315000005.A,Federal government; net lending (+) or borrowing (-) (financial account),A,12-31-1945,12-31-2014
1410,FL793190005.Q,Financial business; total miscellaneous liabilities,Q,12-31-1945,06-30-2015
1411,FL793192005.A,Financial business; foreign direct investment in U.S.; liability,A,12-31-1945,12-31-2014
1412,FL793192005.Q,Financial business; foreign direct investment in U.S.; liability,Q,12-31-1945,06-30-2015
1413,FL793194005.A,Financial business; equity investment by parent companies; liability ,A,12-31-1945,12-31-2014
1414,FL793194005.Q,Financial business; equity investment by parent companies; liability ,Q,12-31-1945,06-30-2015
1415,FL793196005.A,Financial business; other accounts payable; liability (IMA),A,12-31-1945,12-31-2014
1416,FL793196005.Q,Financial business; other accounts payable; liability (IMA),Q,12-31-1945,06-30-2015
1417,FL793196105.A,Financial business; miscellaneous and taxes payable; libility (IMA),A,12-31-1945,12-31-2014
1418,FL793196105.Q,Financial business; miscellaneous and taxes payable; libility (IMA),Q,12-31-1945,06-30-2015
1419,FL794000005.A,Financial business; total currency and deposits; asset ,A,12-31-1945,12-31-2014
1420,FL794000005.Q,Financial business; total currency and deposits; asset ,Q,12-31-1945,06-30-2015
1421,FL794010005.A,Financial business; net interbank transactions; asset,A,12-31-1945,12-31-2014
1422,FL794010005.Q,Financial business; net interbank transactions; asset,Q,12-31-1945,06-30-2015
1423,FL794022005.A,Financial business; debt securities; asset,A,12-31-1945,12-31-2014
1424,FL794022005.Q,Financial business; debt securities; asset,Q,12-31-1945,06-30-2015
1425,FL794022405.A,Financial business; short-term debt securities; asset,A,12-31-1945,12-31-2014
1426,FL153065005.Q,Households and nonprofit organizations; total mortgages; asset,Q,12-31-1945,06-30-2015
1427,FL153065103.A,Households and nonprofit organizations; home mortgages; asset,A,12-31-1945,12-31-2014
1428,FL153065103.Q,Households and nonprofit organizations; home mortgages; asset,Q,12-31-1945,06-30-2015
1429,FL153065403.A,Households and nonprofit organizations; multifamily residential mortgages; asset,A,12-31-1945,12-31-2014
1430,FL153065403.Q,Households and nonprofit organizations; multifamily residential mortgages; asset,Q,12-31-1945,06-30-2015
1431,FL153065505.A,Households and nonprofit organizations; commercial mortgages; asset,A,12-31-1945,12-31-2014
1432,FL153065505.Q,Households and nonprofit organizations; commercial mortgages; asset,Q,12-31-1945,06-30-2015
1433,FL153065605.A,Households and nonprofit organizations; farm mortgages; asset,A,12-31-1945,12-31-2014
1434,FL153065605.Q,Households and nonprofit organizations; farm mortgages; asset,Q,12-31-1945,06-30-2015
1435,FL153067005.A,Households and nonprofit organizations; cash accounts at brokers and dealers,A,12-31-1945,12-31-2014
1436,FL153067005.Q,Households and nonprofit organizations; cash accounts at brokers and dealers,Q,12-31-1945,06-30-2015
1437,FL153069005.A,Households and nonprofit organizations; other loans and advances; asset,A,12-31-1945,12-31-2014
1438,FL153069005.Q,Households and nonprofit organizations; other loans and advances; asset,Q,12-31-1945,06-30-2015
1439,FL153069803.A,Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset ,A,12-31-1945,12-31-2014
1440,FL153069803.Q,Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset ,Q,12-31-1945,06-30-2015
1441,FA883181105.Q,All domestic sectors; equity and investment fund shares excluding mutual fund shares and money market fund shares; liability (IMA),Q,12-31-1946,06-30-2015
1442,FA883181115.A,All domestic sectors; other equity; liability (IMA),A,12-31-1946,12-31-2014
1443,FA883181115.Q,All domestic sectors; other equity; liability (IMA),Q,12-31-1946,06-30-2015
1444,FA883196005.A,All domestic sectors; other accounts payable; liability (IMA),A,12-31-1946,12-31-2014
1445,FA883196005.Q,All domestic sectors; other accounts payable; liability (IMA),Q,12-31-1946,06-30-2015
1446,FA883196105.A,All domestic sectors; miscellaneous and taxes payable; libility (IMA),A,12-31-1946,12-31-2014
1447,FA883196105.Q,All domestic sectors; miscellaneous and taxes payable; libility (IMA),Q,12-31-1946,06-30-2015
1448,FA883196205.A,All domestic sectors; trade credits and advances; liability (IMA),A,12-31-1946,12-31-2014
1449,FA883196205.Q,All domestic sectors; trade credits and advances; liability (IMA),Q,12-31-1946,06-30-2015
1450,FA884000005.A,All domestic sectors; total currency and deposits; asset,A,12-31-1946,12-31-2014
1451,FA884000005.Q,All domestic sectors; total currency and deposits; asset,Q,12-31-1946,06-30-2015
1452,FA884022005.A,All domestic sectors; debt securities; asset,A,12-31-1946,12-31-2014
1453,FA884022005.Q,All domestic sectors; debt securities; asset,Q,12-31-1946,06-30-2015
1454,FA884022405.A,All domestic sectors; short-term debt securities; asset,A,12-31-1946,12-31-2014
1455,FA884022405.Q,All domestic sectors; short-term debt securities; asset,Q,12-31-1946,06-30-2015
1456,FA763020005.A,U.S.-chartered depository institutions; vault cash and reserves at the Federal Reserve; asset,A,12-31-1946,12-31-2014
1457,FA763020005.Q,U.S.-chartered depository institutions; vault cash and reserves at the Federal Reserve; asset,Q,12-31-1946,06-30-2015
1458,FA763025000.A,U.S.-chartered depository institutions; vault cash; asset,A,12-31-1946,12-31-2014
1459,FA763025000.Q,U.S.-chartered depository institutions; vault cash; asset,Q,12-31-1946,06-30-2015
1460,FA763040005.A,U.S.-chartered depository institutions; life insurance reserves; asset       ,A,12-31-1946,12-31-2014
1461,FA763040005.Q,U.S.-chartered depository institutions; life insurance reserves; asset       ,Q,12-31-1946,06-30-2015
1462,FA763061100.A,U.S.-chartered depository institutions; Treasury securities; asset,A,12-31-1946,12-31-2014
1463,FA763061100.Q,U.S.-chartered depository institutions; Treasury securities; asset,Q,12-31-1946,06-30-2015
1464,FA763061303.A,U.S.-chartered depository institutions; agency issued commercial mortgage pass-through securities; asset,A,12-31-1946,12-31-2014
1465,FA763061303.Q,U.S.-chartered depository institutions; agency issued commercial mortgage pass-through securities; asset,Q,12-31-1946,06-30-2015
1466,FA763061403.A,U.S.-chartered depository institutions; agency issued commercial CMOs and other structured MBS; asset,A,12-31-1946,12-31-2014
1467,FA763061403.Q,U.S.-chartered depository institutions; agency issued commercial CMOs and other structured MBS; asset,Q,12-31-1946,06-30-2015
1468,FA763061603.A,U.S.-chartered depository institutions; agency issued residential CMOs and other structured MBS; asset,A,12-31-1946,12-31-2014
